Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1038;Собачка Мими, Рыбы;Той-пудель ;Хочу для дома:хобби;1958;0;Рубли;0;5;1;шт.;Девочки;Рыбы;Собачки;;;Пудель Мими;"1038_1.jpg;1038_2.jpg;1038_3.jpg";Henry Cats and Friends;;;;;CGAS-DO014;Хочу для дома:;хобби;;;;;10.8;50.22;30.13;4.71218E+12;H 5.8 x W4.8x D2.9cm
#1040;Собачка Лори, Водолей;Цвергшнауцер ;Хочу для дома:хобби;2158;0;Рубли;0;5;1;шт.;Девочки;Водолей;Собачки;;;Такса Коко;"1040_1.jpg;1040_2.jpg;1040_3.jpg";Henry Cats and Friends;;;;;CGAS-DO016;Хочу для дома:;хобби;;;;;11.9;55.335;33.2;4.71218E+12;W 8 x H 5.5 x D 4.4cm
#1042;Кролик Руби, Рак;Карликовый нидерландский кролик ;Хочу для дома:хобби;1940;0;Рубли;0;2;1;шт.;Девочки;Рак;Друзья;;;Кольчиха Руби;"1042_1.jpg;1042_2.jpg;1042_3.jpg";Henry Cats and Friends;;;;;CGAS-RA002;Хочу для дома:;хобби;;;;;10.7;49.755;29.85;4.71531E+12;W6.8 x H4.5 x D3.2cm
#1045;Магнит медвежонок Нут;Фарфоровый магнит на холодильник с изображением медвежонка;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Стрелец;Друзья;;;Медвежонок Нут;"1045_1.jpg;1045_2.jpg;1045_3.jpg";Henry Cats and Friends;;;;;CMA-BE001;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71531E+12;W5.3 x H4.2cm
#1046;Магнит котёнок Тайгер;Фарфоровый магнит на холодильник с изображением котёнка;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Весы;Котики;;;Котенок Тайгер;"1046_1.jpg;1046_2.jpg;1046_3.jpg";Henry Cats and Friends;;;;;CMA-CA001;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 5.3 x L 3.3cm
#1047;Магнит котёнок Симба;Фарфоровый магнит на холодильник с изображением котёнка;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Овен;Котики;;;Котенок Симба;"1047_1.jpg;1047_2.jpg;1047_3.jpg";Henry Cats and Friends;;;;;CMA-CA002;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.8 x L 5.2cm
#1048;Магнит Китти;Фарфоровый магнит на холодильник с изображением кошки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;0;1;шт.;Девочки;Рыбы;Котики;;;Кошка Китти;"1048_1.jpg;1048_2.jpg;1048_3.jpg";Henry Cats and Friends;;;;;CMA-CA003;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 4.1 x L 4.9cm
#1051;Магнит Пэтч;Фарфоровый магнит на холодильник с изображением кошки;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;4;1;шт.;Мальчики;Стрелец;Котики;;;Котенок Пэтч;"1051_1.jpg;1051_2.jpg;1051_3.jpg";Henry Cats and Friends;;;;;CMA-CA006;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 3.4 x L 5cm
#1052;Магнит кот Шедоу;Фарфоровый магнит на холодильник с изображением котёнка;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;0;1;шт.;Мальчики;Козерог;Котики;;;Кот Шедоу;"1052_1.jpg;1052_2.jpg;1052_3.jpg";Henry Cats and Friends;;;;;CMA-CA007;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 5.3 x L 3.4cm
#1053;Магнит котёнок Миго;Фарфоровый магнит на холодильник с изображением котёнка;"Хочу для дома:для холодильника;Хочу для дома:хобби";181;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Котики;;;Котик Миго;"1053_1.jpg;1053_2.jpg;1053_3.jpg";Henry Cats and Friends;;;;;CMA-CA008;Хочу для дома:;для холодильника;Хочу для дома:;хобби;;;1;4.65;2.79;4.71218E+12;W 5.3 x L 3.5cm
